"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,4169.23882,1575.16785,309.57495,1242.20948,538.13165,11709.18945,1182.9909,559.37507,909.88049,309.16345,3.11,3429.28101,1198.80981,5806.11276
"zone_139",881.13315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",3568.36963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",191.87325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",2672.80957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",827.12152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",6871.79785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",9679.48535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",2250.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",828.11914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",1480.65173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",1710.29224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",1631.57263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",1167.98657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",962.3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
